,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ancud,-41.8697,-73.8203,42.22,75,13,4.59,CL,1660779196
1,Jamestown,42.097,-79.2353,71.19,82,0,0.0,US,1660778816
2,Kutulik,53.3508,102.7839,50.14,80,99,1.52,RU,1660779197
3,Vao,-22.6667,167.4833,61.95,90,100,17.45,NC,1660779198
4,Yeppoon,-23.1333,150.7333,60.58,45,0,0.98,AU,1660779198
5,Coromandel,-18.4733,-47.2003,70.29,34,0,7.18,BR,1660779199
6,Albany,42.6001,-73.9662,65.34,92,100,2.89,US,1660779199
7,Yerofey Pavlovich,53.9667,121.9667,59.99,63,23,4.14,RU,1660779199
8,Bluff,-46.6,168.3333,51.01,88,100,7.16,NZ,1660779200
9,Busselton,-33.65,115.3333,51.58,68,40,2.86,AU,1660779200
10,Cherskiy,68.75,161.3,58.91,40,54,21.0,RU,1660779201
11,Hobart,-42.8794,147.3294,61.27,63,20,11.5,AU,1660779201
12,Port Alfred,-33.5906,26.891,55.18,84,31,3.0,ZA,1660779202
13,Rikitea,-23.1203,-134.9692,74.44,78,36,19.22,PF,1660779202
14,San Policarpo,12.1791,125.5072,82.11,75,58,4.83,PH,1660779203
15,Hermanus,-34.4187,19.2345,54.81,80,98,15.68,ZA,1660779203
16,Ponta do Sol,32.6667,-17.1,71.01,63,24,9.28,PT,1660779204
17,Ushuaia,-54.8,-68.3,38.86,60,20,9.22,AR,1660778929
18,Codrington,-38.2667,141.9667,57.63,75,86,21.36,AU,1660779204
19,Tasiilaq,65.6145,-37.6368,46.56,72,100,4.45,GL,1660779205
20,Boissevain,49.2306,-100.0559,77.5,96,98,9.69,CA,1660779205
21,Punta Arenas,-53.15,-70.9167,35.71,80,75,13.8,CL,1660779014
22,Palmer,42.1584,-72.3287,69.82,79,75,3.44,US,1660779206
23,Atuona,-9.8,-139.0333,77.22,72,26,22.73,PF,1660779206
24,Igarka,67.4667,86.5833,50.18,75,30,12.12,RU,1660779207
25,Oranjemund,-28.55,16.4333,55.96,89,73,9.28,NA,1660779208
26,Naze,28.3667,129.4833,83.32,81,100,14.47,JP,1660778921
27,New Norfolk,-42.7826,147.0587,60.93,74,92,4.0,AU,1660779208
28,Kahului,20.8947,-156.47,91.42,46,20,25.32,US,1660779192
29,Dikson,73.5069,80.5464,40.46,81,100,11.9,RU,1660779209
30,Calabozo,8.9242,-67.4293,78.57,70,14,3.02,VE,1660779209
31,Mahébourg,-20.4081,57.7,65.25,94,40,3.44,MU,1660779210
32,Fortuna,40.5982,-124.1573,65.32,77,0,13.8,US,1660779147
33,Paamiut,61.994,-49.6678,41.99,87,7,13.09,GL,1660779210
34,Nome,64.5011,-165.4064,51.87,58,100,12.66,US,1660779211
35,Cabo San Lucas,22.8909,-109.9124,89.51,73,75,11.5,MX,1660778929
36,Avarua,-21.2078,-159.775,69.85,73,75,16.11,CK,1660779212
37,Hualmay,-11.0964,-77.6139,61.5,80,54,9.04,PE,1660779212
38,Port Blair,11.6667,92.75,80.64,83,40,8.05,IN,1660779213
39,Mataura,-46.1927,168.8643,49.5,97,100,2.82,NZ,1660779213
40,Coyhaique,-45.5752,-72.0662,36.21,64,20,3.44,CL,1660778929
41,Vila Franca do Campo,37.7167,-25.4333,66.61,75,29,6.49,PT,1660779214
42,Westport,41.1415,-73.3579,78.1,87,100,8.05,US,1660779101
43,Severo-Yeniseyskiy,60.3725,93.0408,48.83,98,100,2.35,RU,1660779215
44,Bulgan,48.8125,103.5347,50.34,91,83,1.19,MN,1660779215
45,Bethel,41.3712,-73.414,72.01,82,100,5.75,US,1660779182
46,Buckeye,33.3703,-112.5838,104.29,33,7,9.55,US,1660779216
47,Upernavik,72.7868,-56.1549,40.96,95,100,3.0,GL,1660779216
48,Zapolyarnyy,69.4154,30.8136,61.88,90,96,6.96,RU,1660779216
49,Yendi,9.4427,-0.0099,71.8,85,35,3.69,GH,1660779217
